time,l,r
2020-03-11 16:23:31.240,1,1
2020-03-11 16:23:31.500,1,1
2020-03-11 16:23:31.740,1,1
2020-03-11 16:23:32.000,0,1
2020-03-11 16:23:32.240,1,1
2020-03-11 16:23:32.500,1,1
2020-03-11 16:23:32.740,1,1
2020-03-11 16:23:33.000,1,1
2020-03-11 16:23:33.240,1,1
2020-03-11 16:23:33.500,1,1
2020-03-11 16:23:33.740,1,1
2020-03-11 16:23:34.000,1,1
2020-03-11 16:23:34.240,1,1
2020-03-11 16:23:34.500,1,1
2020-03-11 16:23:34.740,1,1
2020-03-11 16:23:35.000,1,1
2020-03-11 16:23:35.240,1,1
2020-03-11 16:23:35.500,1,1
2020-03-11 16:23:35.740,1,1
2020-03-11 16:23:36.000,1,1
2020-03-11 16:23:36.240,1,1
2020-03-11 16:23:36.500,1,1
2020-03-11 16:23:36.740,1,1
2020-03-11 16:23:37.000,1,0
2020-03-11 16:23:37.240,0,1
2020-03-11 16:23:37.500,1,1
2020-03-11 16:23:37.740,1,1
2020-03-11 16:23:38.000,1,1
2020-03-11 16:23:38.240,1,1
2020-03-11 16:23:38.500,0,1
2020-03-11 16:23:38.740,1,1
2020-03-11 16:23:39.000,1,1
2020-03-11 16:23:39.240,1,1
2020-03-11 16:23:39.500,1,1
2020-03-11 16:23:39.740,1,1
2020-03-11 16:23:40.000,1,1
2020-03-11 16:23:40.240,0,1
2020-03-11 16:23:40.500,1,1
2020-03-11 16:23:40.740,1,1
2020-03-11 16:23:41.000,1,1
2020-03-11 16:23:41.240,1,1
2020-03-11 16:23:41.500,1,1
2020-03-11 16:23:41.740,1,1
2020-03-11 16:23:42.000,1,1
2020-03-11 16:23:42.240,1,1
2020-03-11 16:23:42.500,1,1
2020-03-11 16:23:42.740,1,1
2020-03-11 16:23:43.000,1,1
2020-03-11 16:23:43.240,1,1
2020-03-11 16:23:43.500,1,1
2020-03-11 16:23:43.740,1,1
2020-03-11 16:23:44.000,0,1
2020-03-11 16:23:44.240,1,1
2020-03-11 16:23:44.500,1,1
2020-03-11 16:23:44.740,1,1
2020-03-11 16:23:45.000,1,1
2020-03-11 16:23:45.240,1,1
2020-03-11 16:23:45.500,1,1
2020-03-11 16:23:45.740,1,1
2020-03-11 16:23:46.000,1,1
2020-03-11 16:23:46.240,1,1
2020-03-11 16:23:46.500,1,1
2020-03-11 16:23:46.740,1,1
2020-03-11 16:23:47.000,1,1
2020-03-11 16:23:47.240,1,1
2020-03-11 16:23:47.500,1,1
2020-03-11 16:23:47.740,0,1
2020-03-11 16:23:48.000,1,1
2020-03-11 16:23:48.240,1,1
2020-03-11 16:23:48.500,1,0
2020-03-11 16:23:48.740,1,1
2020-03-11 16:23:49.000,1,1
2020-03-11 16:23:49.240,1,1
2020-03-11 16:23:49.500,0,1
2020-03-11 16:23:49.740,1,1
2020-03-11 16:23:50.000,1,1
2020-03-11 16:23:50.240,1,0
2020-03-11 16:23:50.500,1,1
2020-03-11 16:23:50.740,1,1
2020-03-11 16:23:51.000,1,1
2020-03-11 16:23:51.240,1,1
2020-03-11 16:23:51.500,1,1
2020-03-11 16:23:51.740,1,1
2020-03-11 16:23:52.000,0,1
2020-03-11 16:23:52.240,0,1
2020-03-11 16:23:52.500,1,1
2020-03-11 16:23:52.740,1,1
2020-03-11 16:23:53.000,0,1
2020-03-11 16:23:53.240,0,1
2020-03-11 16:23:53.500,1,1
2020-03-11 16:23:53.740,1,1
2020-03-11 16:23:54.000,1,1
2020-03-11 16:23:54.240,1,1
2020-03-11 16:23:54.500,1,1
2020-03-11 16:23:54.740,1,1
2020-03-11 16:23:55.000,1,1
2020-03-11 16:23:55.240,1,1
2020-03-11 16:23:55.500,1,1
2020-03-11 16:23:55.740,1,1
2020-03-11 16:23:56.000,1,1
2020-03-11 16:23:56.240,0,1
2020-03-11 16:23:56.500,1,0
2020-03-11 16:23:56.740,1,0
2020-03-11 16:23:57.000,1,1
2020-03-11 16:23:57.240,0,1
2020-03-11 16:23:57.500,1,1
2020-03-11 16:23:57.740,0,1
2020-03-11 16:23:58.000,1,0
2020-03-11 16:23:58.240,0,0
2020-03-11 16:23:58.500,1,1
2020-03-11 16:23:58.740,1,1
2020-03-11 16:23:59.000,1,1
2020-03-11 16:23:59.240,0,0
2020-03-11 16:23:59.500,0,1
2020-03-11 16:23:59.740,1,0
2020-03-11 16:24:00.000,0,0
2020-03-11 16:24:00.240,1,1
2020-03-11 16:24:00.500,1,1
2020-03-11 16:24:00.740,0,1
2020-03-11 16:24:01.000,1,1
2020-03-11 16:24:01.240,1,1
2020-03-11 16:24:01.500,1,1
2020-03-11 16:24:01.740,1,1
2020-03-11 16:24:02.000,1,1
2020-03-11 16:24:02.240,1,1
2020-03-11 16:24:02.500,1,1
2020-03-11 16:24:02.740,1,1
2020-03-11 16:24:03.000,1,1
2020-03-11 16:24:03.240,0,1
2020-03-11 16:24:03.500,1,1
2020-03-11 16:24:03.740,1,1
2020-03-11 16:24:04.000,1,0
2020-03-11 16:24:04.240,1,1
2020-03-11 16:24:04.500,1,1
2020-03-11 16:24:04.740,1,1
2020-03-11 16:24:05.000,1,1
2020-03-11 16:24:05.240,1,1
2020-03-11 16:24:05.500,1,1
2020-03-11 16:24:05.740,1,1
2020-03-11 16:24:06.000,1,1
2020-03-11 16:24:06.240,0,1
2020-03-11 16:24:06.500,1,1
2020-03-11 16:24:06.740,1,1
2020-03-11 16:24:07.000,0,0
2020-03-11 16:24:07.240,0,1
2020-03-11 16:24:07.500,1,1
2020-03-11 16:24:07.740,1,0
2020-03-11 16:24:08.000,1,1
2020-03-11 16:24:08.240,1,1
2020-03-11 16:24:08.500,1,1
2020-03-11 16:24:08.740,1,1
2020-03-11 16:24:09.000,1,0
2020-03-11 16:24:09.240,0,1
2020-03-11 16:24:09.500,1,1
2020-03-11 16:24:09.740,1,1
2020-03-11 16:24:10.000,1,1
2020-03-11 16:24:10.240,1,1
2020-03-11 16:24:10.500,0,1
2020-03-11 16:24:10.740,1,1
2020-03-11 16:24:11.000,1,0
2020-03-11 16:24:11.240,0,1
2020-03-11 16:24:11.500,0,0
2020-03-11 16:24:11.740,1,1
2020-03-11 16:24:12.000,1,1
2020-03-11 16:24:12.240,1,1
