time,l,r
2019-11-15 16:32:58.240,1,1
2019-11-15 16:32:58.500,1,1
2019-11-15 16:32:58.740,1,1
2019-11-15 16:32:59.000,1,1
2019-11-15 16:32:59.240,1,1
2019-11-15 16:32:59.500,1,1
2019-11-15 16:32:59.740,1,1
2019-11-15 16:33:00.000,1,1
2019-11-15 16:33:00.240,1,1
2019-11-15 16:33:00.500,1,1
2019-11-15 16:33:00.740,1,1
2019-11-15 16:33:01.000,1,1
2019-11-15 16:33:01.240,1,1
2019-11-15 16:33:01.500,1,1
2019-11-15 16:33:01.740,1,1
2019-11-15 16:33:02.000,1,1
2019-11-15 16:33:02.240,1,1
2019-11-15 16:33:02.500,1,1
2019-11-15 16:33:02.740,1,1
2019-11-15 16:33:03.000,1,1
2019-11-15 16:33:03.240,1,1
2019-11-15 16:33:03.500,1,1
2019-11-15 16:33:03.740,1,1
2019-11-15 16:33:04.000,1,1
2019-11-15 16:33:04.240,1,1
2019-11-15 16:33:04.500,1,1
2019-11-15 16:33:04.740,1,1
2019-11-15 16:33:05.000,1,1
2019-11-15 16:33:05.240,1,1
2019-11-15 16:33:14.500,1,1
2019-11-15 16:33:14.740,1,0
2019-11-15 16:33:15.000,1,1
2019-11-15 16:33:15.240,1,1
2019-11-15 16:33:15.500,1,1
2019-11-15 16:33:15.740,1,1
2019-11-15 16:33:16.000,1,1
2019-11-15 16:33:16.240,1,1
2019-11-15 16:33:16.500,1,0
2019-11-15 16:33:16.740,1,1
2019-11-15 16:33:17.000,1,1
2019-11-15 16:33:17.240,1,1
2019-11-15 16:33:17.500,1,1
2019-11-15 16:33:17.740,1,1
2019-11-15 16:33:18.000,1,1
2019-11-15 16:33:18.240,1,1
2019-11-15 16:33:18.500,1,1
2019-11-15 16:33:18.740,1,0
2019-11-15 16:33:19.000,1,1
2019-11-15 16:33:19.240,1,1
2019-11-15 16:33:19.500,1,1
2019-11-15 16:33:19.740,1,1
2019-11-15 16:33:20.000,1,0
2019-11-15 16:33:20.240,1,1
2019-11-15 16:33:20.500,1,1
2019-11-15 16:33:20.740,1,0
2019-11-15 16:33:21.000,1,1
2019-11-15 16:33:21.240,1,1
2019-11-15 16:33:21.500,1,1
2019-11-15 16:33:21.740,1,1
2019-11-15 16:33:22.000,1,1
2019-11-15 16:33:22.240,1,1
2019-11-15 16:33:22.500,1,1
2019-11-15 16:33:22.740,1,1
2019-11-15 16:33:23.000,1,1
2019-11-15 16:33:23.240,1,1
2019-11-15 16:33:23.500,1,1
2019-11-15 16:33:23.740,1,1
2019-11-15 16:33:24.000,1,0
2019-11-15 16:33:24.240,1,1
2019-11-15 16:33:24.500,1,1
2019-11-15 16:33:24.740,1,1
2019-11-15 16:33:25.000,1,1
2019-11-15 16:33:25.240,1,1
2019-11-15 16:33:25.500,1,1
2019-11-15 16:33:25.740,1,1
2019-11-15 16:33:26.000,1,1
2019-11-15 16:33:26.240,1,1
2019-11-15 16:33:26.500,1,1
2019-11-15 16:33:26.740,1,1
2019-11-15 16:33:27.000,1,1
2019-11-15 16:33:27.240,1,1
2019-11-15 16:33:27.500,1,1
2019-11-15 16:33:27.740,1,1
2019-11-15 16:33:28.000,1,1
2019-11-15 16:33:28.240,1,1
2019-11-15 16:33:29.500,1,1
2019-11-15 16:33:29.740,1,1
2019-11-15 16:33:30.000,1,1
2019-11-15 16:33:30.240,1,1
2019-11-15 16:33:30.500,1,1
2019-11-15 16:33:30.740,1,1
2019-11-15 16:33:31.000,1,1
2019-11-15 16:33:31.240,1,1
2019-11-15 16:33:31.500,1,1
2019-11-15 16:33:31.740,1,1
2019-11-15 16:33:32.000,1,1
2019-11-15 16:33:32.240,1,1
2019-11-15 16:33:32.500,1,1
2019-11-15 16:33:32.740,1,1
2019-11-15 16:33:33.000,1,1
2019-11-15 16:33:33.240,1,1
2019-11-15 16:33:33.500,1,1
2019-11-15 16:33:33.740,1,1
2019-11-15 16:33:34.000,1,1
2019-11-15 16:33:34.240,1,1
2019-11-15 16:33:34.500,1,1
2019-11-15 16:33:34.740,1,1
2019-11-15 16:33:35.000,1,1
2019-11-15 16:33:35.240,1,1
2019-11-15 16:33:35.500,1,1
2019-11-15 16:33:35.740,1,0
2019-11-15 16:33:36.000,1,1
2019-11-15 16:33:36.240,1,1
2019-11-15 16:33:36.500,1,1
2019-11-15 16:33:36.740,1,1
2019-11-15 16:33:37.000,1,1
2019-11-15 16:33:37.240,1,1
2019-11-15 16:33:37.500,1,1
2019-11-15 16:33:37.740,1,1
2019-11-15 16:33:38.000,1,1
2019-11-15 16:33:38.240,1,1
2019-11-15 16:33:38.500,1,0
2019-11-15 16:33:38.740,1,0
2019-11-15 16:33:39.000,1,0
2019-11-15 16:33:39.240,1,0
2019-11-15 16:33:39.500,1,0
2019-11-15 16:33:39.740,1,0
2019-11-15 16:33:40.000,1,0
2019-11-15 16:33:40.240,1,0
2019-11-15 16:33:40.500,1,0
2019-11-15 16:33:40.740,1,0
2019-11-15 16:33:41.000,1,0
2019-11-15 16:33:41.240,1,0
2019-11-15 16:33:41.500,1,1
2019-11-15 16:33:41.740,1,1
2019-11-15 16:33:42.000,1,0
2019-11-15 16:33:42.240,1,0
2019-11-15 16:33:42.500,1,1
2019-11-15 16:33:42.740,1,1
2019-11-15 16:33:43.000,1,1
2019-11-15 16:33:43.240,1,1
2019-11-15 16:33:43.500,1,1
2019-11-15 16:33:43.740,1,1
2019-11-15 16:33:44.000,1,0
2019-11-15 16:33:44.240,1,1
2019-11-15 16:33:44.500,1,0
2019-11-15 16:33:44.740,1,1
2019-11-15 16:33:45.000,1,1
2019-11-15 16:33:45.240,1,0
2019-11-15 16:33:45.500,1,1
2019-11-15 16:33:45.740,1,1
2019-11-15 16:33:46.000,1,1
2019-11-15 16:33:46.240,1,1
2019-11-15 16:33:46.500,1,1
2019-11-15 16:33:46.740,1,1
2019-11-15 16:33:47.000,1,1
2019-11-15 16:33:47.240,1,1
2019-11-15 16:33:47.500,0,1
2019-11-15 16:33:47.740,1,1
2019-11-15 16:33:48.000,1,1
2019-11-15 16:33:48.240,1,1
2019-11-15 16:33:48.500,1,0
2019-11-15 16:33:48.740,1,0
2019-11-15 16:33:49.000,1,1
2019-11-15 16:33:49.240,1,1
2019-11-15 16:33:49.500,1,1
2019-11-15 16:33:49.740,1,1
2019-11-15 16:33:50.000,1,1
2019-11-15 16:33:50.240,1,1
2019-11-15 16:33:50.500,1,1
2019-11-15 16:33:50.740,1,1
2019-11-15 16:33:51.000,1,1
2019-11-15 16:33:51.240,1,1
2019-11-15 16:33:51.500,1,1
2019-11-15 16:33:51.740,1,1
2019-11-15 16:33:52.000,1,1
2019-11-15 16:33:52.240,1,1
2019-11-15 16:33:52.500,1,0
2019-11-15 16:33:52.740,1,1
2019-11-15 16:33:53.000,1,0
2019-11-15 16:33:53.240,1,0
2019-11-15 16:33:53.500,0,1
2019-11-15 16:33:53.740,1,1
2019-11-15 16:33:54.000,1,1
2019-11-15 16:33:54.240,1,1
2019-11-15 16:33:54.500,1,0
2019-11-15 16:33:54.740,0,1
2019-11-15 16:33:55.000,0,0
2019-11-15 16:33:55.240,0,1
2019-11-15 16:33:55.500,1,1
2019-11-15 16:33:55.740,0,1
2019-11-15 16:33:56.000,1,0
2019-11-15 16:33:56.240,1,1
2019-11-15 16:33:56.500,0,1
2019-11-15 16:33:56.740,0,1
2019-11-15 16:33:57.000,0,0
2019-11-15 16:33:57.240,1,1
2019-11-15 16:33:57.500,1,1
2019-11-15 16:33:57.740,0,1
2019-11-15 16:33:58.000,1,1
2019-11-15 16:33:58.240,1,1
2019-11-15 16:33:58.500,1,1
2019-11-15 16:33:58.740,1,1
2019-11-15 16:33:59.000,0,1
2019-11-15 16:33:59.240,1,1
2019-11-15 16:33:59.500,1,0
2019-11-15 16:33:59.740,0,0
2019-11-15 16:34:00.000,1,1
2019-11-15 16:34:00.240,0,0
2019-11-15 16:34:00.500,0,1
2019-11-15 16:34:00.740,0,1
2019-11-15 16:34:01.000,1,0
2019-11-15 16:34:01.240,1,0
2019-11-15 16:34:05.740,1,1
2019-11-15 16:34:06.000,1,0
2019-11-15 16:34:06.240,1,1
2019-11-15 16:34:06.500,1,0
2019-11-15 16:34:06.740,1,1
2019-11-15 16:34:07.000,1,1
2019-11-15 16:34:07.240,1,1
2019-11-15 16:34:07.500,1,1
2019-11-15 16:34:07.740,1,1
2019-11-15 16:34:08.000,1,1
2019-11-15 16:34:08.240,1,1
2019-11-15 16:34:08.500,1,1
2019-11-15 16:34:08.740,1,0
2019-11-15 16:34:09.000,1,1
2019-11-15 16:34:09.240,1,1
2019-11-15 16:34:09.500,1,1
2019-11-15 16:34:09.740,1,1
2019-11-15 16:34:10.000,1,1
2019-11-15 16:34:10.240,1,1
2019-11-15 16:34:10.500,1,1
2019-11-15 16:34:10.740,1,1
2019-11-15 16:34:11.000,1,1
2019-11-15 16:34:11.240,1,1
2019-11-15 16:34:11.500,1,1
2019-11-15 16:34:11.740,1,1
2019-11-15 16:34:12.000,1,1
2019-11-15 16:34:12.240,1,1
2019-11-15 16:34:12.500,1,1
2019-11-15 16:34:12.740,1,1
2019-11-15 16:34:13.000,1,1
2019-11-15 16:34:13.240,1,1
2019-11-15 16:34:13.500,1,0
2019-11-15 16:34:13.740,1,1
2019-11-15 16:34:14.000,1,0
2019-11-15 16:34:14.240,1,1
2019-11-15 16:34:14.500,1,1
2019-11-15 16:34:14.740,1,1
2019-11-15 16:34:15.000,1,1
2019-11-15 16:34:15.240,1,1
2019-11-15 16:34:15.500,1,1
2019-11-15 16:34:15.740,1,1
2019-11-15 16:34:16.000,1,1
2019-11-15 16:34:16.240,1,1
2019-11-15 16:34:16.500,1,1
2019-11-15 16:34:16.740,1,1
2019-11-15 16:34:17.000,1,1
2019-11-15 16:34:17.240,1,1
2019-11-15 16:34:17.500,1,1
2019-11-15 16:34:17.740,1,1
2019-11-15 16:34:18.000,1,1
2019-11-15 16:34:18.240,1,1
2019-11-15 16:34:18.500,1,1
2019-11-15 16:34:18.740,1,1
2019-11-15 16:34:19.000,1,1
2019-11-15 16:34:19.240,1,1
2019-11-15 16:34:19.500,1,1
2019-11-15 16:34:19.740,1,1
2019-11-15 16:34:20.000,1,1
2019-11-15 16:34:20.240,1,1
2019-11-15 16:34:20.500,1,1
2019-11-15 16:34:20.740,1,1
2019-11-15 16:34:21.000,1,1
2019-11-15 16:34:21.240,1,1
2019-11-15 16:34:21.500,1,1
2019-11-15 16:34:21.740,1,1
2019-11-15 16:34:22.000,0,1
2019-11-15 16:34:22.240,0,1
2019-11-15 16:34:22.500,0,1
2019-11-15 16:34:22.740,0,1
2019-11-15 16:34:23.000,1,1
2019-11-15 16:34:23.240,0,1
2019-11-15 16:34:23.500,1,1
2019-11-15 16:34:23.740,1,1
2019-11-15 16:34:24.000,0,1
2019-11-15 16:34:24.240,0,1
2019-11-15 16:34:24.500,0,1
2019-11-15 16:34:24.740,0,1
2019-11-15 16:34:25.000,1,1
2019-11-15 16:34:25.240,0,1
2019-11-15 16:34:25.500,1,1
2019-11-15 16:34:25.740,0,1
2019-11-15 16:34:26.000,1,1
2019-11-15 16:34:26.240,1,1
2019-11-15 16:34:26.500,1,1
2019-11-15 16:34:26.740,1,1
2019-11-15 16:34:27.000,1,1
2019-11-15 16:34:27.240,1,1
2019-11-15 16:34:27.500,1,1
2019-11-15 16:34:27.740,1,1
2019-11-15 16:34:28.000,1,1
2019-11-15 16:34:28.240,1,1
2019-11-15 16:34:28.500,1,1
2019-11-15 16:34:28.740,1,1
2019-11-15 16:34:29.000,0,1
2019-11-15 16:34:29.240,1,1
2019-11-15 16:34:29.500,1,1
2019-11-15 16:34:29.740,1,1
2019-11-15 16:34:30.000,1,1
2019-11-15 16:34:37.000,1,1
2019-11-15 16:34:37.240,1,1
2019-11-15 16:34:37.500,1,1
2019-11-15 16:34:37.740,1,1
2019-11-15 16:34:38.000,1,1
2019-11-15 16:34:38.240,1,1
2019-11-15 16:34:38.500,1,1
2019-11-15 16:34:38.740,1,1
2019-11-15 16:34:39.000,1,1
2019-11-15 16:34:39.240,1,1
2019-11-15 16:34:39.500,1,1
2019-11-15 16:34:39.740,1,1
2019-11-15 16:34:40.000,1,1
2019-11-15 16:34:40.240,1,1
