time,l,iteration
2019-11-25 16:52:47.500,1,0
2019-11-25 16:56:09.500,0,0
2019-11-25 16:53:28.000,1,0
2019-11-25 16:50:04.740,0,0
2019-11-25 16:54:33.240,1,0
2019-11-25 16:57:07.240,0,0
2019-11-25 16:47:09.500,0,0
2019-11-25 16:58:10.500,0,0
2019-11-25 16:55:44.740,0,0
2019-11-25 16:56:14.740,0,0
2019-11-25 16:49:48.500,1,0
2019-11-25 16:52:25.740,1,0
2019-11-25 16:57:32.000,0,0
2019-11-25 16:47:48.740,0,0
2019-11-25 16:47:50.740,1,0
2019-11-25 17:00:25.500,0,0
2019-11-25 16:55:34.240,0,0
2019-11-25 16:58:10.740,0,0
2019-11-25 16:56:57.740,0,0
2019-11-25 16:54:28.740,1,0
2019-11-25 16:56:47.740,0,0
2019-11-25 16:54:53.740,1,0
2019-11-25 16:47:25.500,0,0
2019-11-25 16:53:26.500,1,0
2019-11-25 16:59:14.240,0,0
2019-11-25 16:58:08.500,1,0
2019-11-25 16:47:12.740,0,0
2019-11-25 16:54:48.000,0,0
2019-11-25 16:48:45.000,1,0
2019-11-25 16:48:47.740,1,0
2019-11-25 16:57:30.240,0,0
2019-11-25 16:54:23.000,1,0
2019-11-25 16:58:03.740,0,0
2019-11-25 16:54:40.500,0,0
2019-11-25 16:54:47.500,0,0
2019-11-25 16:55:09.740,0,0
2019-11-25 16:57:07.500,0,0
2019-11-25 16:59:33.500,0,0
2019-11-25 16:47:17.500,0,0
2019-11-25 16:58:19.500,0,0
2019-11-25 16:47:29.000,0,0
2019-11-25 16:57:24.740,1,0
2019-11-25 16:56:01.740,0,0
2019-11-25 16:48:06.740,1,0
2019-11-25 16:47:18.740,0,0
2019-11-25 16:48:30.500,1,0
2019-11-25 16:56:06.000,1,0
2019-11-25 16:56:13.740,0,0
2019-11-25 16:53:32.500,1,0
2019-11-25 16:59:38.240,0,0
2019-11-25 16:56:05.240,0,0
2019-11-25 16:53:28.500,1,0
2019-11-25 16:50:18.240,0,0
2019-11-25 16:56:03.240,1,0
2019-11-26 16:51:00.500,1,0
2019-11-26 16:57:43.000,1,0
2019-11-26 16:53:25.740,1,0
2019-11-26 16:50:58.500,1,0
2019-11-26 16:54:38.740,1,0
2019-11-26 16:57:01.740,0,0
2019-11-26 16:56:06.740,1,0
2019-11-26 16:56:35.740,1,0
2019-11-26 16:52:54.500,1,0
2019-11-26 16:56:07.000,1,0
2019-11-26 16:53:12.000,0,0
