time,r,iteration
2019-11-26 16:52:08.000,1,0
2019-11-26 16:57:08.000,1,0
2019-11-26 16:54:35.740,0,0
2019-11-26 16:57:01.000,1,0
2019-11-26 16:50:57.000,0,0
2019-11-26 16:56:20.240,1,0
2019-11-26 16:57:03.500,1,0
2019-11-26 16:54:36.000,1,0
2019-11-26 16:51:27.500,0,0
2019-11-26 16:57:15.740,1,0
2019-11-26 16:52:26.000,1,0
2019-11-26 16:53:11.500,1,0
2019-11-26 16:51:18.000,0,0
2019-11-26 16:56:18.000,1,0
2019-11-26 16:54:47.240,1,0
2019-11-26 16:57:41.240,1,0
2019-11-26 16:53:33.500,1,0
2019-11-26 16:57:40.500,1,0
2019-11-26 16:53:18.240,1,0
2019-11-26 16:55:04.500,1,0
2019-11-26 16:56:06.000,0,0
2019-11-26 16:55:07.000,1,0
2019-11-26 16:51:14.000,0,0
2019-11-26 16:57:37.240,1,0
2019-11-26 16:51:55.000,1,0
2019-11-26 16:57:20.500,1,0
2019-11-26 16:57:15.500,1,0
2019-11-26 16:52:58.000,0,0
2019-11-26 16:51:58.240,0,0
2019-11-26 16:54:23.000,1,0
2019-11-26 16:53:29.740,0,0
2019-11-26 16:56:48.000,1,0
2019-11-26 16:51:57.000,0,0
2019-11-26 16:56:25.500,1,0
2019-11-26 16:51:10.740,0,0
2019-11-26 16:54:42.500,1,0
2019-11-26 16:56:29.500,1,0
2019-11-26 16:55:07.240,1,0
2019-11-26 16:54:28.500,1,0
2019-11-26 16:52:14.240,1,0
2019-11-26 16:57:23.240,1,0
2019-11-26 16:56:57.740,1,0
2019-11-26 16:52:49.500,1,0
2019-11-26 16:54:13.560,0,0
2019-11-26 16:53:26.000,0,0
2019-11-26 16:52:13.240,1,0
2019-11-26 16:54:43.500,1,0
2019-11-26 16:51:15.740,0,0
2019-11-26 16:55:00.740,1,0
2019-11-26 16:51:56.500,1,0
2019-11-26 16:52:13.000,1,0
2019-11-26 16:54:56.000,1,0
2019-11-26 16:51:37.740,0,0
2019-11-26 16:51:23.000,0,0
2019-11-26 16:53:25.240,0,0
2019-11-26 16:52:54.500,0,0
2019-11-26 16:57:00.000,0,0
2019-11-26 16:55:05.000,1,0
2019-11-26 16:53:31.500,0,0
2019-11-26 16:57:06.500,1,0
2019-11-26 16:54:34.740,1,0
2019-11-26 16:53:07.500,1,0
2019-11-26 16:57:11.240,1,0
2019-11-26 16:53:18.000,1,0
2019-11-26 16:52:02.000,1,0
2019-11-26 16:55:13.240,1,0
2019-11-26 16:53:03.240,1,0
2019-11-26 16:52:04.500,1,0
2019-11-26 16:52:10.240,1,0
2019-11-26 16:57:00.240,1,0
2019-11-26 16:56:25.240,1,0
2019-11-26 16:56:11.000,1,0
2019-11-26 16:54:40.240,1,0
2019-11-26 16:57:20.000,1,0
2019-11-26 16:53:19.240,1,0
2019-11-26 16:56:53.240,1,0
2019-11-26 16:56:43.500,1,0
2019-11-26 16:56:23.000,1,0
2019-11-26 16:52:48.500,1,0
2019-11-26 16:53:31.240,0,0
2019-11-26 16:57:07.000,1,0
2019-11-26 16:57:02.740,1,0
2019-11-26 16:51:55.500,1,0
2019-11-26 16:53:28.500,0,0
2019-11-26 16:56:11.740,1,0
2019-11-26 16:51:06.740,0,0
2019-11-26 16:54:49.000,1,0
2019-11-26 16:53:09.240,1,0
2019-11-26 16:51:20.740,0,0
2019-11-26 16:51:05.240,0,0
2019-11-26 16:54:26.500,1,0
2019-11-26 16:52:19.740,1,0
2019-11-26 16:53:10.500,1,0
2019-11-26 16:51:13.000,0,0
2019-11-26 16:51:03.000,0,0
2019-11-26 16:56:08.000,1,0
2019-11-26 16:56:28.000,1,0
2019-11-26 16:56:47.240,1,0
2019-11-26 16:53:28.000,0,0
2019-11-26 16:53:20.240,0,0
2019-11-26 16:56:15.500,1,0
2019-11-26 16:56:19.500,1,0
2019-11-26 16:53:24.500,1,0
2019-11-26 16:56:34.500,1,0
2019-11-26 16:54:20.000,1,0
2019-11-26 16:52:59.740,0,0
2019-11-26 16:52:54.240,0,0
2019-11-26 16:54:34.240,1,0
2019-11-26 16:57:41.740,1,0
2019-11-26 16:55:10.740,1,0
2019-11-26 16:54:49.240,1,0
2019-11-26 16:52:01.740,1,0
2019-11-26 16:51:59.740,1,0
2019-11-26 16:51:27.740,0,0
2019-11-26 16:52:52.740,0,0
2019-11-26 16:56:33.240,1,0
2019-11-26 16:55:01.740,1,0
2019-11-26 16:54:31.240,1,0
2019-11-26 16:56:37.000,1,0
2019-11-26 16:57:18.240,1,0
